bin	start_timestamp	target	pid_set	valid_samples	glibc_median_kb	glibc_min_kb	glibc_max_kb	other_anon_median_kb	file_backed_median_kb	MemAvailable_median_kb	zram_used_median_kb
5	2026-08-13T23:21:39,753111847-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	cynara	205	15	1648	1648	1648	1032	212	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	enlightenment	258	15	2724	2724	2724	968	3036	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	ServiceD	1037	15	588	588	588	2128	3224	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	systemd	1	15	1144	1144	1144	164	440	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1041996	79504
6	2026-08-13T23:22:09,757651256-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	AppProcD	424	15	12684	12684	12684	18724	5140	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	cynara	205	15	1648	1648	1648	1032	212	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	enlightenment	258	15	2716	2716	2724	968	3036	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	ServiceD	1037	15	588	588	588	2128	3224	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	systemd	1	15	1144	1144	1144	164	440	1042740	79504
6	2026-08-13T23:22:09,757651256-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1042740	79504
7	2026-08-13T23:22:39,752653833-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	AppProcD	424	15	12684	12684	12684	18724	5140	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1043132	79504
