part	profile	actual_profile	grid	rep	attempt	threads	extra_args	exit_code	throughput_ops_per_s	p50	p99	measure_rss_kb_median	idle_rss_kb	idle_free_delta_kb	idle_trim_ret	temp_before	json_status	local_dir
B	burst-free-small	burst-free-small	C0	3	1	4		0	10591056.114	112	601	1464	1492	n/a	n/a	36024	ok	board_results/batch25/burst-free-small/C0/rep3
B	burst-free-small	burst-free-small	mxfast0	1	1	4		0	10006246.859	164	380	1432	1456	n/a	n/a	36024	ok	board_results/batch25/burst-free-small/mxfast0/rep1
B	burst-free-small	burst-free-small	mxfast0	2	1	4		0	9944215.511	164	388	1432	1456	n/a	n/a	36024	ok	board_results/batch25/burst-free-small/mxfast0/rep2
B	burst-free-small	burst-free-small	mxfast0	3	1	4		0	9869320.232	164	400	1432	1456	n/a	n/a	35537	ok	board_results/batch25/burst-free-small/mxfast0/rep3
B	burst-free-small	burst-free-small	tcache_unsorted3	1	1	4		0	10408738.723	112	666	1464	1488	n/a	n/a	36024	ok	board_results/batch25/burst-free-small/tcache_unsorted3/rep1
B	burst-free-small	burst-free-small	tcache_unsorted3	2	1	4		0	10458960.381	112	659	1464	1488	n/a	n/a	36024	ok	board_results/batch25/burst-free-small/tcache_unsorted3/rep2
B	burst-free-small	burst-free-small	tcache_unsorted3	3	1	4		0	10463636.127	112	662	1464	1492	n/a	n/a	35537	ok	board_results/batch25/burst-free-small/tcache_unsorted3/rep3
B	unsorted-drain	unsorted-drain	C0	1	1	4		0	2425487.869	492	10640	138376	138444	n/a	n/a	36998	ok	board_results/batch25/unsorted-drain/C0/rep1
B	unsorted-drain	unsorted-drain	C0	2	1	4		0	2420848.642	486	10679	138484	138552	n/a	n/a	36024	ok	board_results/batch25/unsorted-drain/C0/rep2
B	unsorted-drain	unsorted-drain	C0	3	1	4		0	2431634.008	486	10651	138656	138724	n/a	n/a	35050	ok	board_results/batch25/unsorted-drain/C0/rep3
B	unsorted-drain	unsorted-drain	mxfast0	1	1	4		0	2422228.959	490	10605	138696	138732	n/a	n/a	35537	ok	board_results/batch25/unsorted-drain/mxfast0/rep1
B	unsorted-drain	unsorted-drain	mxfast0	2	1	4		0	2421615.469	488	10673	138364	138432	n/a	n/a	35537	ok	board_results/batch25/unsorted-drain/mxfast0/rep2
B	unsorted-drain	unsorted-drain	mxfast0	3	1	4		0	2428174.142	485	10561	138628	138696	n/a	n/a	35537	ok	board_results/batch25/unsorted-drain/mxfast0/rep3
B	unsorted-drain	unsorted-drain	tcache_unsorted3	1	1	4		0	2432474.955	482	10589	138768	138836	n/a	n/a	35537	ok	board_results/batch25/unsorted-drain/tcache_unsorted3/rep1
B	unsorted-drain	unsorted-drain	tcache_unsorted3	2	1	4		0	2419955.977	487	10714	138828	138896	n/a	n/a	35050	ok	board_results/batch25/unsorted-drain/tcache_unsorted3/rep2
B	unsorted-drain	unsorted-drain	tcache_unsorted3	3	1	4		0	2433467.376	489	10539	138568	138636	n/a	n/a	35537	ok	board_results/batch25/unsorted-drain/tcache_unsorted3/rep3
C	thread-churn	thread-churn	L1_L3	1	1	4		0	1780686.498	254	1655	68676	68708	n/a	n/a	36024	ok	board_results/batch25/thread-churn/L1_L3/rep1
C	thread-churn	thread-churn	L1_L3	2	1	4		0	1789267.787	252	1649	71180	71212	n/a	n/a	36024	ok	board_results/batch25/thread-churn/L1_L3/rep2
C	thread-churn	thread-churn	L1_L3	3	1	4		0	1785091.975	256	1645	70224	70256	n/a	n/a	36024	ok	board_results/batch25/thread-churn/L1_L3/rep3
D	mixed	mixed	D-C0	1	1	4	--idle-release 50	0	2016951.805	253	1216	114404	114444	48538.220	-1	36024	ok	board_results/batch25/mixed/D-C0/rep1
D	mixed	mixed	D-C0	2	1	4	--idle-release 50	0	2010617.271	254	1216	113660	113700	50359.020	-1	35537	ok	board_results/batch25/mixed/D-C0/rep2
D	mixed	mixed	D-C0	3	1	4	--idle-release 50	0	2004777.211	256	1220	114584	114624	48121.684	-1	35050	ok	board_results/batch25/mixed/D-C0/rep3
D	mixed	mixed	D-C0-idle-trim	1	1	4	--idle-release 50 --idle-trim	0	2012834.046	248	1213	113764	53500	50905.817	1	35537	ok	board_results/batch25/mixed/D-C0-idle-trim/rep1
D	mixed	mixed	D-C0-idle-trim	2	1	4	--idle-release 50 --idle-trim	0	2009791.078	258	1225	115348	54012	49680.904	1	35050	ok	board_results/batch25/mixed/D-C0-idle-trim/rep2
D	mixed	mixed	D-C0-idle-trim	3	1	4	--idle-release 50 --idle-trim	0	2010910.556	253	1218	114792	52896	49341.146	1	35050	ok	board_results/batch25/mixed/D-C0-idle-trim/rep3
D	mixed	mixed	D-T-L3	1	1	4	--idle-release 50	0	2007878.461	251	1224	112736	112776	48330.726	-1	34563	ok	board_results/batch25/mixed/D-T-L3/rep1
D	mixed	mixed	D-T-L3	2	1	4	--idle-release 50	0	2010702.283	259	1218	115172	115212	50616.012	-1	34076	ok	board_results/batch25/mixed/D-T-L3/rep2
D	mixed	mixed	D-T-L3	3	1	4	--idle-release 50	0	2010069.406	258	1229	114664	114704	49022.708	-1	35050	ok	board_results/batch25/mixed/D-T-L3/rep3
