profile	grid	rep	attempt	exit_code	throughput_ops_per_s	p50	p99	measure_rss_kb_median	idle_rss_kb	temp_before	json_status	local_dir
thread-churn	T-L4a	1	1	0	1859295.484	271	1440	74976	75008	37485	ok	board_results/batch2/thread-churn/T-L4a/rep1
thread-churn	T-L4a	2	1	0	1865342.011	274	1434	75544	75576	36998	ok	board_results/batch2/thread-churn/T-L4a/rep2
thread-churn	T-L4a	3	1	0	1861369.12	274	1426	74612	74644	36511	ok	board_results/batch2/thread-churn/T-L4a/rep3
thread-churn	T-L4b	1	1	0	1750984.849	319	1484	75496	75528	36511	ok	board_results/batch2/thread-churn/T-L4b/rep1
thread-churn	T-L4b	2	1	0	1749437.628	318	1509	75388	75420	36998	ok	board_results/batch2/thread-churn/T-L4b/rep2
thread-churn	T-L4b	3	1	0	1747975.369	320	1496	75388	75420	36998	ok	board_results/batch2/thread-churn/T-L4b/rep3
thread-churn	T-L11	1	1	0	1901503.637	245	1495	74944	74976	36998	ok	board_results/batch2/thread-churn/T-L11/rep1
thread-churn	T-L11	2	1	0	1899314.938	248	1503	74884	74916	36998	ok	board_results/batch2/thread-churn/T-L11/rep2
thread-churn	T-L11	3	1	0	1894855.652	248	1496	75028	75060	36998	ok	board_results/batch2/thread-churn/T-L11/rep3
thread-churn	T-L12	1	1	0	1894650.008	248	1474	73680	73712	37485	ok	board_results/batch2/thread-churn/T-L12/rep1
thread-churn	T-L12	2	1	0	1895695.282	250	1481	74096	74128	36998	ok	board_results/batch2/thread-churn/T-L12/rep2
thread-churn	T-L12	3	1	0	1898993.732	251	1475	74100	74132	36998	ok	board_results/batch2/thread-churn/T-L12/rep3
thread-churn	T-L2	1	1	0	1032507.205	357	20252	100228	100236	36511	ok	board_results/batch2/thread-churn/T-L2/rep1
thread-churn	T-L2	2	1	0	1030451.033	375	19397	92700	92708	36511	ok	board_results/batch2/thread-churn/T-L2/rep2
thread-churn	T-L2	3	1	0	1046441.057	393	18302	81044	81052	36511	ok	board_results/batch2/thread-churn/T-L2/rep3
thread-churn	T-B1	1	1	0	1068269.155	393	18135	116168	116176	36511	ok	board_results/batch2/thread-churn/T-B1/rep1
thread-churn	T-B1	2	1	0	1022770.723	357	20917	104696	104704	36024	ok	board_results/batch2/thread-churn/T-B1/rep2
thread-churn	T-B1	3	1	0	1064355.58	393	18296	106672	106680	36511	ok	board_results/batch2/thread-churn/T-B1/rep3
thread-churn	T-L1	1	1	0	1895780.165	253	1479	70696	70728	35537	ok	board_results/batch2/thread-churn/T-L1/rep1
thread-churn	T-L1	2	1	0	1898762.826	247	1472	72748	72780	37485	ok	board_results/batch2/thread-churn/T-L1/rep2
thread-churn	T-L1	3	1	0	1895215.591	249	1483	72864	72896	37485	ok	board_results/batch2/thread-churn/T-L1/rep3
