UID       PID PPID  C STIME TTY          TIME CMD
root      634    2  0 20:36 ?        00:00:00 [kworker/u25:3-events_unbound]
root      648    2  0 20:21 ?        00:00:00 [kworker/u31:1-kbase_pm_shader_pow
root      649    2  0 20:21 ?        00:00:00 [kworker/u29:1]
root      700    2  0 20:37 ?        00:00:00 [kworker/0:0-events]
root      702    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
root      710    2  0 20:21 ?        00:00:00 [kworker/u28:3-kvfree_rcu_reclaim]
owner     712  272  0 20:21 ?        00:00:00 /usr/bin/app-defined-loader     0 
root      714    2  0 20:38 ?        00:00:02 [kworker/u30:0-kbase_pm_poweroff_w
owner     715    1  0 20:21 ?        00:00:00 /usr/bin/resource-center
root      716    1  0 20:21 ?        00:00:00 /usr/bin/rscmgr-service
owner     728  272  0 20:21 ?        00:00:02 /usr/bin/launchpad-loader     0   
owner     729  272  1 20:21 ?        00:00:16 /usr/apps/AppS/bin/org.t
root      735    1  1 20:21 ?        00:00:18 /usr/bin/ServiceC
root      736    1  0 20:21 ?        00:00:01 /usr/bin/tvs-lite
app_fw    737    1  0 20:21 ?        00:00:04 /usr/bin/ServiceV
owner     738    1  0 20:21 ?        00:00:05 /opt/usr/apps/com.samsung.tv.pisa-
root      740    1  0 20:21 ?        00:00:01 /usr/bin/tvctx-manager /etc/tvctx-
root      743    1  0 20:21 ?        00:00:02 /usr/bin/bt-service
owner     744    1  0 20:21 ?        00:00:01 /opt/usr/apps/com.samsung.tv.slive
owner     826    1  0 20:21 ?        00:00:03 /usr/bin/common-daemon-basic-monit
owner     827    1  0 20:21 ?        00:00:00 /usr/bin/connectivity-common-daemo
root      831    1  0 20:21 ?        00:00:00 /usr/sbin/connmand --nodnsproxy --
root      834    1  0 20:21 ?        00:00:09 /usr/bin/deviced
root      836    1  0 20:21 ?        00:00:00 /usr/sbin/launcher-security
root      851    2  0 20:21 ?        00:00:01 [kworker/2:3-mm_percpu_wq]
root      868    1  4 20:21 ?        00:01:03 /usr/bin/avocd -d
root      877    2  0 20:39 ?        00:00:00 [kworker/u32:0-kbase_pm_shader_pow
root      881    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
root      911    2  0 20:21 ?        00:00:00 [kworker/u27:3-dput_wq]
root      932    2  0 20:39 ?        00:00:00 [kworker/2:0-events]
root      958    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
root     1003    2  0 20:21 ?        00:00:00 [kworker/0:3R-kblockd]
owner    1017  272  1 20:21 ?        00:00:14 /opt/usr/apps/com.samsung.tv.home.
root     1056    2  0 20:21 ?        00:00:00 [kworker/u24:3-Eth_plugDetect]
root     1071    1  0 20:21 ?        00:00:00 /usr/sbin/net-config
root     1075    1  0 20:21 ?        00:00:01 /usr/bin/TIFSDaemon
root     1093    2  0 20:41 ?        00:00:00 [kworker/3:2-cgroup_free]
root     1095    2  0 20:41 ?        00:00:00 [kworker/u27:0-events_unbound]
root     1124    2  0 20:21 ?        00:00:00 [kworker/u27:4-events_unbound]
root     1142    2  0 20:42 ?        00:00:00 [kworker/u33:0-kbase_pm_shader_pow
root     1145    2  0 20:42 ?        00:00:00 [kworker/1:0-events]
root     1146    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
root     1172    2  0 20:43 ?        00:00:00 [kworker/u30:2-kbase_pm_poweroff_w
owner    1179  272  0 20:21 ?        00:00:02 /opt/usr/apps/org.tizen.ssoservice
root     1187    1  0 20:21 ?        00:00:06 /usr/bin/ServiceO
root     1193    1  1 20:21 ?        00:00:16 /usr/bin/tzdaemon
owner    1210    1  5 20:21 ?        00:01:11 /opt/usr/apps/com.samsung.tv.slive
owner    1220    1  0 20:21 ?        00:00:00 /usr/bin/speaker-manager
app_fw   1223    1  0 20:21 ?        00:00:00 /usr/bin/tizen-watcherd
root     1225    1  0 20:21 ?        00:00:01 /usr/sbin/vd-net-config
root     1229    1  0 20:21 ?        00:00:00 /usr/sbin/wpa_supplicant -u -t -dd
root     1247    2  0 20:44 ?        00:00:00 [kworker/0:2]
root     1262    2  0 20:44 ?        00:00:00 [kworker/2:1-events]
root     1265  561  0 20:45 ?        00:00:00 sleep 5
root     1274    1  0 20:21 ?        00:00:00 /usr/lib/systemd/systemd-udevd --r
root     1278    2  0 20:45 ?        00:00:00 [kworker/u26:0-events_unbound]
root     1284    2  0 20:45 ?        00:00:00 [kworker/u26:1-events_unbound]
root     1295    1  0 20:21 ?        00:00:00 /usr/bin/TAgentD
owner    1299  272  0 20:21 ?        00:00:00 /usr/apps/com.samsung.tv.home-serv
owner    1321    1  0 20:21 ?        00:00:05 /usr/bin/securestorage-server
root     1326    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
pulse    1332    1  0 20:21 ?        00:00:01 /usr/bin/pulseaudio
owner    1333    1  0 20:21 ?        00:00:04 /usr/bin/psa-init
owner    1355    1  0 20:22 ?        00:00:00 /usr/lib/systemd/systemd --user
root     1358    1  0 20:22 ?        00:00:00 /usr/bin/wfd-manager
owner    1359    1  0 20:22 ?        00:00:00 /usr/bin/p2p-asm
root     1364    2  0 20:45 ?        00:00:00 [kworker/u28:2-events_unbound]
root     1392    2  0 20:45 ?        00:00:00 [kworker/u25:0-events_unbound]
root     1490    1 50 20:45 pts/0    00:00:00 /bin/sh -c LC_ALL=C ps -ef;r=$?;ec
root     1491 1490  0 20:45 pts/0    00:00:00 ps -ef
app_fw   1500    1  0 20:22 ?        00:00:01 /usr/bin/esd
root     1513    1  0 20:22 ?        00:00:00 /usr/bin/eventd
securit+ 1515    1  0 20:22 ?        00:00:00 /usr/bin/license-manager-agent
root     1519    2  0 20:22 ?        00:00:00 [smdl_daemon]
root     1524    1  0 20:22 ?        00:00:13 /usr/bin/ServiceN
owner    1525    1  0 20:22 ?        00:00:00 /usr/bin/isf
owner    1578    1  0 20:22 ?        00:00:00 /usr/bin/allshare-svc
owner    1579    1  0 20:22 ?        00:00:00 /usr/bin/app-control-service
root     1581    1  0 20:22 ?        00:00:00 /usr/bin/bt-monitor
owner    1607    1  0 20:22 ?        00:00:00 /usr/bin/contents-recognition-serv
root     1626    1  1 20:22 ?        00:00:16 /bin/issue_report_agent
owner    1627    1  0 20:22 ?        00:00:00 /usr/bin/aisctrlmgr_server -s org.
owner    1633  272  0 20:22 ?        00:00:00 /opt/usr/apps/com.samsung.tv.conte
owner    1635  272  0 20:22 ?        00:00:00 /opt/usr/apps/com.samsung.tv.ghdae
owner    1708    1  0 20:22 ?        00:00:00 /opt/usr/apps/org.tizen.dseal/bin/
owner    1743    1  0 20:22 ?        00:00:00 /usr/bin/register-device
owner    1749    1  0 20:22 ?        00:00:01 /usr/bin/ServiceP
