sample	timestamp	epoch_ns	target	comm	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	total_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb	zram_orig_bytes	zram_compr_bytes	zram_mem_used_bytes
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	systemd	systemd	1	1124	164	440	1728	27356	507	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3513	309	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	ServiceD	ServiceD	1037	180	1740	3224	5144	18765	277	1058220	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	AppProcD	AppProcD	424	12592	18612	5140	36344	123353	500	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	AppProcB	AppProcB	896	6572	11780	6416	24768	109147	1366	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	cynara	cynara	205	1652	1032	212	2896	20148	842	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	AppProcA	AppProcA	2724	1212	3644	3732	8588	35576	79	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	systemd	systemd	1	1124	164	440	1728	27356	507	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3514	309	1058116	92816	90263552	20975318	27086848
15	2026-08-13T23:19:37,751026543-0700	1786688377746426543	ServiceD	ServiceD	1037	180	1740	3224	5144	18765	277	1058116	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	AppProcD	AppProcD	424	12592	18612	5140	36344	123353	500	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	AppProcB	AppProcB	896	6572	11780	6416	24768	109187	1366	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	cynara	cynara	205	1652	1032	212	2896	20148	842	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	AppProcA	AppProcA	2724	1212	3644	3732	8588	35576	79	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	systemd	systemd	1	1124	164	440	1728	27356	507	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3515	309	1059120	92816	90263552	20975318	27086848
16	2026-08-13T23:19:39,755079542-0700	1786688379750468792	ServiceD	ServiceD	1037	180	1740	3224	5144	18765	277	1059120	92816	90263552	20975318	27086848
17	2026-08-13T23:19:41,754571708-0700	1786688381750331792	AppProcD	AppProcD	424	12592	18612	5140	36344	123353	500	1058104	92816	90263552	20975318	27086848
