sample	stage	timestamp	epoch_ns	target	comm	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	total_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb	zram_orig_bytes	zram_compr_bytes	zram_mem_used_bytes
10	P0	2026-08-14T01:55:58,017861059-0700	1786697758009298225	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	779952	92940	88961024	23939502	32374784
10	P0	2026-08-14T01:55:58,017861059-0700	1786697758009298225	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150697	103	779952	92940	88961024	23939502	32374784
10	P0	2026-08-14T01:55:58,017861059-0700	1786697758009298225	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779952	92940	88961024	23939502	32374784
11	P0	2026-08-14T01:55:59,010136058-0700	1786697759004909558	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779680	92940	88961024	23939502	32374784
11	P0	2026-08-14T01:55:59,010136058-0700	1786697759004909558	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	779680	92940	88961024	23939502	32374784
11	P0	2026-08-14T01:55:59,010136058-0700	1786697759004909558	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150697	103	779680	92940	88961024	23939502	32374784
11	P0	2026-08-14T01:55:59,010136058-0700	1786697759004909558	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779680	92940	88961024	23939502	32374784
12	P0	2026-08-14T01:56:00,008978725-0700	1786697760000686975	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780292	92940	88961024	23939502	32374784
12	P0	2026-08-14T01:56:00,008978725-0700	1786697760000686975	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	780292	92940	88961024	23939502	32374784
12	P0	2026-08-14T01:56:00,008978725-0700	1786697760000686975	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150697	103	780292	92940	88961024	23939502	32374784
12	P0	2026-08-14T01:56:00,008978725-0700	1786697760000686975	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780292	92940	88961024	23939502	32374784
13	P0	2026-08-14T01:56:01,017219725-0700	1786697761005567225	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779916	92940	88961024	23939502	32374784
13	P0	2026-08-14T01:56:01,017219725-0700	1786697761005567225	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	779916	92940	88961024	23939502	32374784
13	P0	2026-08-14T01:56:01,017219725-0700	1786697761005567225	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150737	103	779916	92940	88961024	23939502	32374784
13	P0	2026-08-14T01:56:01,017219725-0700	1786697761005567225	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779916	92940	88961024	23939502	32374784
14	P0	2026-08-14T01:56:02,010532558-0700	1786697762004317558	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780540	92940	88961024	23939502	32374784
14	P0	2026-08-14T01:56:02,010532558-0700	1786697762004317558	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	780540	92940	88961024	23939502	32374784
14	P0	2026-08-14T01:56:02,010532558-0700	1786697762004317558	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150737	103	780540	92940	88961024	23939502	32374784
14	P0	2026-08-14T01:56:02,010532558-0700	1786697762004317558	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780540	92940	88961024	23939502	32374784
15	P0	2026-08-14T01:56:03,021638557-0700	1786697763007738057	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779852	92940	88961024	23939502	32374784
15	P0	2026-08-14T01:56:03,021638557-0700	1786697763007738057	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	779852	92940	88961024	23939502	32374784
15	P0	2026-08-14T01:56:03,021638557-0700	1786697763007738057	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150737	103	779852	92940	88961024	23939502	32374784
15	P0	2026-08-14T01:56:03,021638557-0700	1786697763007738057	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779852	92940	88961024	23939502	32374784
16	P0	2026-08-14T01:56:04,013141141-0700	1786697764008166391	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780328	92940	88961024	23939502	32374784
16	P0	2026-08-14T01:56:04,013141141-0700	1786697764008166391	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	780328	92940	88961024	23939502	32374784
16	P0	2026-08-14T01:56:04,013141141-0700	1786697764008166391	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150737	103	780328	92940	88961024	23939502	32374784
16	P0	2026-08-14T01:56:04,013141141-0700	1786697764008166391	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780328	92940	88961024	23939502	32374784
17	P0	2026-08-14T01:56:05,022426890-0700	1786697765012249890	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780192	92940	88961024	23939502	32374784
17	P0	2026-08-14T01:56:05,022426890-0700	1786697765012249890	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	780192	92940	88961024	23939502	32374784
17	P0	2026-08-14T01:56:05,022426890-0700	1786697765012249890	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150737	103	780192	92940	88961024	23939502	32374784
17	P0	2026-08-14T01:56:05,022426890-0700	1786697765012249890	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780192	92940	88961024	23939502	32374784
18	P0	2026-08-14T01:56:06,026625223-0700	1786697766016350890	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780088	92940	88961024	23939502	32374784
18	P0	2026-08-14T01:56:06,026625223-0700	1786697766016350890	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	780088	92940	88961024	23939502	32374784
18	P0	2026-08-14T01:56:06,026625223-0700	1786697766016350890	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150777	103	780088	92940	88961024	23939502	32374784
18	P0	2026-08-14T01:56:06,026625223-0700	1786697766016350890	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780088	92940	88961024	23939502	32374784
19	P0	2026-08-14T01:56:07,008269806-0700	1786697767003814556	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780600	92940	88961024	23939502	32374784
19	P0	2026-08-14T01:56:07,008269806-0700	1786697767003814556	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	780600	92940	88961024	23939502	32374784
19	P0	2026-08-14T01:56:07,008269806-0700	1786697767003814556	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150777	103	780600	92940	88961024	23939502	32374784
19	P0	2026-08-14T01:56:07,008269806-0700	1786697767003814556	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780600	92940	88961024	23939502	32374784
20	P0	2026-08-14T01:56:08,013287973-0700	1786697768006080723	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779728	92940	88961024	23939502	32374784
20	P0	2026-08-14T01:56:08,013287973-0700	1786697768006080723	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779728	92940	88961024	23939502	32374784
20	P0	2026-08-14T01:56:08,013287973-0700	1786697768006080723	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150777	103	779728	92940	88961024	23939502	32374784
20	P0	2026-08-14T01:56:08,013287973-0700	1786697768006080723	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779728	92940	88961024	23939502	32374784
21	P0	2026-08-14T01:56:09,011380973-0700	1786697769006205056	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779700	92940	88961024	23939502	32374784
21	P0	2026-08-14T01:56:09,011380973-0700	1786697769006205056	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779700	92940	88961024	23939502	32374784
21	P0	2026-08-14T01:56:09,011380973-0700	1786697769006205056	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150777	103	779700	92940	88961024	23939502	32374784
21	P0	2026-08-14T01:56:09,011380973-0700	1786697769006205056	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779700	92940	88961024	23939502	32374784
22	P0	2026-08-14T01:56:10,016483472-0700	1786697770008350222	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779244	92940	88961024	23939502	32374784
22	P0	2026-08-14T01:56:10,016483472-0700	1786697770008350222	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779244	92940	88961024	23939502	32374784
22	P0	2026-08-14T01:56:10,016483472-0700	1786697770008350222	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150777	103	779244	92940	88961024	23939502	32374784
22	P0	2026-08-14T01:56:10,016483472-0700	1786697770008350222	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779244	92940	88961024	23939502	32374784
23	P0	2026-08-14T01:56:11,019482222-0700	1786697771005507639	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779376	92940	88961024	23939502	32374784
23	P0	2026-08-14T01:56:11,019482222-0700	1786697771005507639	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779376	92940	88961024	23939502	32374784
23	P0	2026-08-14T01:56:11,019482222-0700	1786697771005507639	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150817	103	779376	92940	88961024	23939502	32374784
23	P0	2026-08-14T01:56:11,019482222-0700	1786697771005507639	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779376	92940	88961024	23939502	32374784
24	P0	2026-08-14T01:56:12,015184139-0700	1786697772009320472	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779936	92940	88961024	23939502	32374784
24	P0	2026-08-14T01:56:12,015184139-0700	1786697772009320472	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779936	92940	88961024	23939502	32374784
24	P0	2026-08-14T01:56:12,015184139-0700	1786697772009320472	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150817	103	779936	92940	88961024	23939502	32374784
24	P0	2026-08-14T01:56:12,015184139-0700	1786697772009320472	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779936	92940	88961024	23939502	32374784
25	P0	2026-08-14T01:56:13,009503305-0700	1786697773004724972	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779448	92940	88961024	23939502	32374784
25	P0	2026-08-14T01:56:13,009503305-0700	1786697773004724972	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779448	92940	88961024	23939502	32374784
25	P0	2026-08-14T01:56:13,009503305-0700	1786697773004724972	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150817	103	779448	92940	88961024	23939502	32374784
25	P0	2026-08-14T01:56:13,009503305-0700	1786697773004724972	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779448	92940	88961024	23939502	32374784
26	P0	2026-08-14T01:56:14,012279555-0700	1786697774005221138	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779864	92940	88961024	23939502	32374784
26	P0	2026-08-14T01:56:14,012279555-0700	1786697774005221138	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779864	92940	88961024	23939502	32374784
26	P0	2026-08-14T01:56:14,012279555-0700	1786697774005221138	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150817	103	779864	92940	88961024	23939502	32374784
26	P0	2026-08-14T01:56:14,012279555-0700	1786697774005221138	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779864	92940	88961024	23939502	32374784
27	P0	2026-08-14T01:56:15,013886555-0700	1786697775006981221	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779448	92940	88961024	23939502	32374784
27	P0	2026-08-14T01:56:15,013886555-0700	1786697775006981221	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779448	92940	88961024	23939502	32374784
27	P0	2026-08-14T01:56:15,013886555-0700	1786697775006981221	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150817	103	779448	92940	88961024	23939502	32374784
27	P0	2026-08-14T01:56:15,013886555-0700	1786697775006981221	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779448	92940	88961024	23939502	32374784
28	P0	2026-08-14T01:56:16,009965054-0700	1786697776005555471	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779924	92940	88961024	23939502	32374784
28	P0	2026-08-14T01:56:16,009965054-0700	1786697776005555471	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779924	92940	88961024	23939502	32374784
28	P0	2026-08-14T01:56:16,009965054-0700	1786697776005555471	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150857	103	779924	92940	88961024	23939502	32374784
28	P0	2026-08-14T01:56:16,009965054-0700	1786697776005555471	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779924	92940	88961024	23939502	32374784
29	P0	2026-08-14T01:56:17,013892387-0700	1786697777004625387	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779996	92940	88961024	23939502	32374784
29	P0	2026-08-14T01:56:17,013892387-0700	1786697777004625387	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779996	92940	88961024	23939502	32374784
29	P0	2026-08-14T01:56:17,013892387-0700	1786697777004625387	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150857	103	779996	92940	88961024	23939502	32374784
29	P0	2026-08-14T01:56:17,013892387-0700	1786697777004625387	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779996	92940	88961024	23939502	32374784
30	P0	2026-08-14T01:56:18,015623887-0700	1786697778004984554	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779312	92940	88961024	23939502	32374784
30	P0	2026-08-14T01:56:18,015623887-0700	1786697778004984554	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779312	92940	88961024	23939502	32374784
30	P0	2026-08-14T01:56:18,015623887-0700	1786697778004984554	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150857	103	779312	92940	88961024	23939502	32374784
30	P0	2026-08-14T01:56:18,015623887-0700	1786697778004984554	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779312	92940	88961024	23939502	32374784
31	P0	2026-08-14T01:56:19,023957054-0700	1786697779016376304	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779860	92940	88961024	23939502	32374784
31	P0	2026-08-14T01:56:19,023957054-0700	1786697779016376304	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779860	92940	88961024	23939502	32374784
31	P0	2026-08-14T01:56:19,023957054-0700	1786697779016376304	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150857	103	779860	92940	88961024	23939502	32374784
31	P0	2026-08-14T01:56:19,023957054-0700	1786697779016376304	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779860	92940	88961024	23939502	32374784
32	P0	2026-08-14T01:56:20,016947720-0700	1786697780005297220	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779720	92940	88961024	23939502	32374784
32	P0	2026-08-14T01:56:20,016947720-0700	1786697780005297220	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779720	92940	88961024	23939502	32374784
32	P0	2026-08-14T01:56:20,016947720-0700	1786697780005297220	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150857	103	779720	92940	88961024	23939502	32374784
32	P0	2026-08-14T01:56:20,016947720-0700	1786697780005297220	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779720	92940	88961024	23939502	32374784
33	P0	2026-08-14T01:56:21,012577886-0700	1786697781004742303	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	778932	92940	88961024	23939502	32374784
33	P0	2026-08-14T01:56:21,012577886-0700	1786697781004742303	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	778932	92940	88961024	23939502	32374784
33	P0	2026-08-14T01:56:21,012577886-0700	1786697781004742303	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150897	103	778932	92940	88961024	23939502	32374784
33	P0	2026-08-14T01:56:21,012577886-0700	1786697781004742303	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	778932	92940	88961024	23939502	32374784
34	P0	2026-08-14T01:56:22,019766220-0700	1786697782008615720	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779676	92940	88961024	23939502	32374784
34	P0	2026-08-14T01:56:22,019766220-0700	1786697782008615720	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779676	92940	88961024	23939502	32374784
34	P0	2026-08-14T01:56:22,019766220-0700	1786697782008615720	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150897	103	779676	92940	88961024	23939502	32374784
34	P0	2026-08-14T01:56:22,019766220-0700	1786697782008615720	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779676	92940	88961024	23939502	32374784
35	P0	2026-08-14T01:56:23,008263303-0700	1786697783003918803	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779932	92940	88961024	23939502	32374784
35	P0	2026-08-14T01:56:23,008263303-0700	1786697783003918803	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	779932	92940	88961024	23939502	32374784
35	P0	2026-08-14T01:56:23,008263303-0700	1786697783003918803	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150897	103	779932	92940	88961024	23939502	32374784
35	P0	2026-08-14T01:56:23,008263303-0700	1786697783003918803	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779932	92940	88961024	23939502	32374784
36	P0	2026-08-14T01:56:24,018304802-0700	1786697784009060052	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780980	92940	88961024	23939502	32374784
36	P0	2026-08-14T01:56:24,018304802-0700	1786697784009060052	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	780980	92940	88961024	23939502	32374784
36	P0	2026-08-14T01:56:24,018304802-0700	1786697784009060052	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150897	103	780980	92940	88961024	23939502	32374784
36	P0	2026-08-14T01:56:24,018304802-0700	1786697784009060052	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780980	92940	88961024	23939502	32374784
37	P0	2026-08-14T01:56:25,011239719-0700	1786697785005309219	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	781040	92940	88961024	23939502	32374784
37	P0	2026-08-14T01:56:25,011239719-0700	1786697785005309219	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	781040	92940	88961024	23939502	32374784
37	P0	2026-08-14T01:56:25,011239719-0700	1786697785005309219	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150897	103	781040	92940	88961024	23939502	32374784
37	P0	2026-08-14T01:56:25,011239719-0700	1786697785005309219	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	781040	92940	88961024	23939502	32374784
38	P0	2026-08-14T01:56:26,010043385-0700	1786697786003123469	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780720	92940	88961024	23939502	32374784
38	P0	2026-08-14T01:56:26,010043385-0700	1786697786003123469	ServiceB	ServiceB	692	3940	4444	2176	10560	32262	414	780720	92940	88961024	23939502	32374784
38	P0	2026-08-14T01:56:26,010043385-0700	1786697786003123469	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150937	103	780720	92940	88961024	23939502	32374784
