sample	actual_stage	timestamp	actual_elapsed_s	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb
113	R1	2026-08-14T01:57:45,400248866-0700	117.411213	3953	3476	4440	2656	427309	167	781364	92940
114	R1	2026-08-14T01:57:46,142782866-0700	118.150614	3953	3476	4440	2656	427309	167	781692	92940
115	R1	2026-08-14T01:57:46,815808699-0700	118.826903	3953	3476	4440	2656	427309	167	781776	92940
116	R1	2026-08-14T01:57:47,540234033-0700	119.547111	3953	3476	4440	2656	427309	167	783032	92940
117	R2	2026-08-14T01:57:48,923416699-0700	120.930661	3953	3800	4716	2656	427406	167	753060	92940
118	R2	2026-08-14T01:57:50,414906198-0700	122.422446	3953	5112	5512	2656	428030	167	752568	92940
119	R2	2026-08-14T01:57:52,849193365-0700	124.497612	3953	10068	9472	2684	436745	167	753236	92940
120	R2	2026-08-14T01:57:58,646438197-0700	130.574694	3953	3844	4520	2656	439913	167	752056	92940
121	R2	2026-08-14T01:58:01,848927112-0700	133.811376	3953	3844	4520	2656	439913	167	766352	92940
122	R2	2026-08-14T01:58:03,897753695-0700	135.896683	3953	3844	4520	2656	439913	167	770528	92940
123	R2	2026-08-14T01:58:05,987534278-0700	137.991613	3953	3844	4520	2656	439913	167	771336	92940
124	R2	2026-08-14T01:58:08,358887694-0700	140.342802	3953	3844	4520	2656	439913	167	774296	92940
125	R2	2026-08-14T01:58:10,548108944-0700	142.548512	3953	3844	4520	2656	439913	167	772776	92940
126	R2	2026-08-14T01:58:11,426989110-0700	143.436653	3953	3844	4520	2656	439913	167	773668	92940
127	R2	2026-08-14T01:58:12,182706193-0700	144.193193	3953	3844	4520	2656	439913	167	774996	92940
128	R2	2026-08-14T01:58:12,946717610-0700	144.955463	3953	3852	4468	2656	439943	167	775560	92940
129	R2	2026-08-14T01:58:15,148099859-0700	147.152436	3953	3852	4468	2656	439943	167	749712	92940
130	R2	2026-08-14T01:58:16,160709276-0700	148.165194	3953	3852	4468	2656	439943	167	750324	92940
131	R2	2026-08-14T01:58:17,001564525-0700	149.005156	3953	3852	4468	2656	439943	167	750184	92940
132	R2	2026-08-14T01:58:18,229004109-0700	150.237684	3953	3824	4468	2656	439943	167	774876	92940
133	R2	2026-08-14T01:58:19,247531942-0700	151.256356	3953	3824	4468	2656	439969	167	772292	92940
134	R2	2026-08-14T01:58:20,414590441-0700	152.424536	3953	3824	4468	2656	439969	167	770512	92940
135	R2	2026-08-14T01:58:21,418702441-0700	153.427166	3953	3824	4468	2656	439969	167	770776	92940
136	R2	2026-08-14T01:58:22,367096024-0700	154.374720	3953	3824	4468	2656	439969	167	771408	92940
137	R2	2026-08-14T01:58:23,116307274-0700	155.126694	3953	3824	4468	2656	439969	167	772172	92940
138	R2	2026-08-14T01:58:23,823666941-0700	155.831851	3953	3824	4468	2656	439969	167	772548	92940
139	R2	2026-08-14T01:58:24,553634357-0700	156.560293	3953	3824	4468	2656	439969	167	771568	92940
140	R2	2026-08-14T01:58:25,313121857-0700	157.312068	3953	3824	4468	2656	439969	167	772904	92940
141	R2	2026-08-14T01:58:26,202785607-0700	158.211935	3953	3824	4468	2656	439969	167	773792	92940
142	R2	2026-08-14T01:58:26,998323690-0700	159.007009	3953	3824	4468	2656	439969	167	777224	92940
143	R2	2026-08-14T01:58:27,689075523-0700	159.697695	3953	3824	4468	2656	439969	167	777132	92940
144	R2	2026-08-14T01:58:28,486236856-0700	160.496246	3953	3824	4468	2656	439969	167	778360	92940
145	R2	2026-08-14T01:58:29,180074689-0700	161.190810	3953	3824	4468	2656	439969	167	779280	92940
146	R2	2026-08-14T01:58:29,915339272-0700	161.924492	3953	3824	4468	2656	439969	167	781564	92940
147	R2	2026-08-14T01:58:30,654118689-0700	162.661736	3953	3824	4468	2656	439969	167	781388	92940
148	R2	2026-08-14T01:58:31,351122355-0700	163.360209	3953	3824	4468	2656	439969	167	780240	92940
149	R2	2026-08-14T01:58:32,079440855-0700	164.088203	3953	3824	4468	2656	439969	167	783144	92940
150	R2	2026-08-14T01:58:32,770621105-0700	164.780259	3953	3824	4468	2656	439969	167	782596	92940
151	R2	2026-08-14T01:58:33,445923855-0700	165.456491	3953	3824	4468	2656	439969	167	782228	92940
