UID        PID  PPID  C STIME TTY          TIME CMD
owner      761   739  0 Aug28 ?        00:07:07 /usr/apps/ise-default/bin/ise-de
owner      766   661  0 Aug28 ?        00:00:00 /usr/bin/isf
graphic+   768     1  0 Aug28 ?        00:18:35 bash /usr/bin/enlightenment_mon.
multime+   783     1  0 Aug28 ?        00:00:30 /usr/bin/muse-server -D
location   808     1  0 Aug28 ?        00:00:01 /usr/bin/lbs-server
root       813     1  0 Aug28 ?        00:33:44 /usr/bin/pass
owner      845   661  0 Aug28 ?        00:00:00 /usr/bin/dbus-daemon --session -
securit+   848     1  0 Aug28 ?        00:00:00 /usr/bin/security-manager
securit+   853   848  0 Aug28 ?        00:00:00 /usr/bin/security-manager
owner      860   661  0 Aug28 ?        00:00:00 /usr/bin/starter
owner      872   739  0 Aug28 ?        00:00:01 /usr/bin/dotnet-hydra-loader 1 0
owner      890   739  0 Aug28 ?        00:06:05 /usr/apps/org.tizen.multi-assist
ui_fw      931     1  0 Aug28 ?        00:00:00 /usr/bin/ise-engine-loader
owner      948   661  0 Aug28 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
network+   967     1  0 Aug28 ?        00:05:40 /usr/bin/mtp-responder
sdk        968     1  0 Aug28 ?        00:00:45 /usr/sbin/sdbd
owner      978   739  2 Aug28 ?        05:24:22 /usr/apps/org.tizen.homescreen/b
owner     1022   872  0 Aug28 ?        00:00:08 /usr/bin/dotnet-hydra-loader can
owner     1023   872  0 Aug28 ?        00:06:02 /usr/apps/org.tizen.systemui/bin
owner     1042   872  0 Aug28 ?        00:00:00 /usr/bin/process-pool <hydra-loa
app_fw    1047     1  0 Aug28 ?        00:00:00 /usr/bin/theme-provider
root      1133   476  0 Aug28 ttyS0    00:00:00 -bash
root      2158     2  0 04:27 ?        00:00:01 [kworker/u19:1-events_unbound]
root      2600     2  0 Sep07 ?        00:00:03 [kworker/u19:0-events_unbound]
root      2925     2  0 14:06 ?        00:00:00 [kworker/1:2H]
root      4021     2  0 02:38 ?        00:00:01 [kworker/u20:2-kvfree_rcu_reclai
root      4414     2  0 14:12 ?        00:00:00 [kworker/2:1-events]
root      4735     2  0 Sep07 ?        00:00:01 [kworker/u20:1-events_unbound]
root      5401     2  0 14:15 ?        00:00:00 [kworker/3:2-mm_percpu_wq]
root      5839     2  0 14:17 ?        00:00:00 [kworker/1:2-events]
root      6721     2  0 14:20 ?        00:00:00 [kworker/2:3-events]
root      6875     2  0 14:21 ?        00:00:00 [kworker/u16:1-v3d_render]
root      7525     2  0 14:23 ?        00:00:00 [kworker/2:0H]
root      8105     2  0 14:25 ?        00:00:00 [kworker/0:0-events]
root      9012     2  0 Sep07 ?        00:00:02 [kworker/u20:0-events_unbound]
root      9110     2  0 14:29 ?        00:00:00 [kworker/1:0-events_power_effici
root      9507     2  0 14:30 ?        00:00:00 [kworker/0:1-events]
root      9787     2  0 14:31 ?        00:00:00 [kworker/u16:2-v3d_render]
root      9844     2  0 08:46 ?        00:00:01 [kworker/u17:0-events_unbound]
root     10227     2  0 14:33 ?        00:00:00 [kworker/3:0-events]
root     10567     2  0 14:34 ?        00:00:00 [kworker/1:3-events]
root     10946     2  0 14:35 ?        00:00:00 [kworker/0:2-events]
root     11062     2  0 Sep07 ?        00:00:02 [kworker/u17:2-events_unbound]
root     11272     2  0 14:36 ?        00:00:00 [kworker/u16:0-v3d_bin]
root     11935     2  0 14:39 ?        00:00:00 [kworker/3:1-rcu_gp]
root     11964     2  0 14:39 ?        00:00:00 [kworker/2:0-events_power_effici
root     12063     2  0 14:39 ?        00:00:00 [kworker/0:3-rcu_gp]
root     12136     2  0 Sep05 ?        00:00:00 [kworker/2:1H-kblockd]
root     12734     2  0 14:40 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root     12924     2  0 12:48 ?        00:00:00 [kworker/u17:3-events_unbound]
graphic+ 13235   768  0 14:41 ?        00:00:00 sleep 3
root     13438     2  0 Sep04 ?        00:00:01 [kworker/1:1H-kblockd]
root     13549     1  0 14:41 pts/2    00:00:00 /bin/sh -c ( ps -ef; ps -eo pid,
root     13551 13549  0 14:41 pts/2    00:00:00 /bin/sh -c ( ps -ef; ps -eo pid,
root     13552 13551 99 14:41 pts/2    00:00:00 ps -ef
root     14447     2  0 10:58 ?        00:00:00 [kworker/u18:3-events_unbound]
root     17783     2  0 13:06 ?        00:00:00 [kworker/u18:2-events_unbound]
root     18858     2  0 Sep04 ?        00:17:52 [sugov:0]
root     26799     1  0 Sep04 pts/0    00:00:00 /bin/sh -l
root     27105     1  0 Sep04 pts/1    00:00:00 /bin/sh -l
root     30139     2  0 11:55 ?        00:00:00 [kworker/3:0H]
root     31315     2  0 11:59 ?        00:00:00 [kworker/u18:0-flush-179:0]
root     31429     2  0 06:12 ?        00:00:00 [kworker/u19:2]
root     31638     2  0 12:00 ?        00:00:00 [kworker/0:0H]
root     31673     2  0 Sep04 ?        00:00:08 [kworker/0:2H-mmc_complete]
  PID  PPID TT                        STARTED     ELAPSED COMMAND
    1     0 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 /sbin/init
    2     0 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kthreadd]
    3     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [pool_workqueue_releas
    4     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-kvfree_rcu_
    5     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-rcu_gp]
    6     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-sync_wq]
    7     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-slub_flushw
    8     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-netns]
   13     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-mm_percpu_w
   14     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [rcu_tasks_rude_kthrea
   15     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [rcu_tasks_trace_kthre
   16     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [ksoftirqd/0]
   17     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [rcu_sched]
   18     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [rcu_exp_par_gp_kthrea
   19     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [rcu_exp_gp_kthread_wo
   20     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [migration/0]
   21     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [cpuhp/0]
   22     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [cpuhp/1]
   23     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [migration/1]
   24     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [ksoftirqd/1]
   27     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [cpuhp/2]
   28     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [migration/2]
   29     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [ksoftirqd/2]
   32     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [cpuhp/3]
   33     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [migration/3]
   34     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [ksoftirqd/3]
   41     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kdevtmpfs]
   42     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-inet_frag_w
   43     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kauditd]
